timestamp,iops,mbps
2019-07-13T04:36:17.488330,0,0
2019-07-13T04:36:18.422987,0,0
2019-07-13T04:36:19.512662,317,333
2019-07-13T04:36:20.426126,322,337
2019-07-13T04:36:21.381542,277,291
2019-07-13T04:36:22.529778,310,326
2019-07-13T04:36:23.393693,410,431
2019-07-13T04:36:24.414262,366,383
2019-07-13T04:36:25.444823,441,462
2019-07-13T04:36:26.288909,373,392
2019-07-13T04:36:27.289534,510,534
2019-07-13T04:36:28.289501,460,482
2019-07-13T04:36:29.289387,537,564
2019-07-13T04:36:30.300839,471,493
2019-07-13T04:36:30.547853,329,345
